Time [s],Packet ID,MOSI,MISO
5.259849833333333,0,0x00,0x12
5.259855083333333,1,0x80,0x00
5.259860333333333,2,0xA0,0x00
5.259866083333334,3,0x86,0x00
5.259871333333333,4,0x92,0x00
5.259876666666667,5,0xD0,0x00
5.259881916666667,6,0xB6,0x00
5.259887166666666,7,0xC7,0x00
5.259892666666667,8,0xC4,0x00
5.259898083333334,9,0xB3,0x00
5.259903583333333,10,0xA8,0x00
5.259909083333334,11,0xA0,0x00
5.259914333333334,12,0xB2,0x00
5.259919583333334,13,0xC0,0x00
5.259924833333334,14,0xC0,0x00
5.259930083333333,15,0xC0,0x00
5.259939333333334,16,0xCC,0x00
5.259945000000000,17,0xA5,0x00
9.282097500000001,18,0xA5,0x00
9.282102666666667,19,0x80,0x00
11.652821250000001,20,0x00,0x8F
11.652827500000001,21,0xB0,0xFF
11.652832750000000,21,0x00,0x05
11.652983250000000,22,0x00,0x1F
11.652989333333334,23,0xB0,0xFF
11.652994583333333,23,0x00,0x02
11.653144916666667,24,0x00,0x88
11.653151083333332,25,0xB0,0xFF
11.653156333333333,25,0x00,0x03
11.653307916666666,26,0x00,0x8C
11.653314166666666,27,0xB0,0xFF
11.653319416666667,27,0x00,0x40
11.653471083333333,28,0x00,0x8F
11.653477250000000,29,0xB0,0xFF
11.653482500000001,29,0x00,0x99
11.653633666666666,30,0x00,0x1F
11.653639750000000,31,0xB0,0xFF
11.653644999999999,31,0x00,0x18
11.653795916666667,32,0x00,0x8E
11.653802083333334,33,0xB0,0xFF
11.653807333333333,33,0x00,0x7E
11.653956916666667,34,0x00,0x8B
11.653963083333334,35,0xB0,0xFF
11.653968416666666,35,0x00,0x78
11.653978750000000,36,0x92,0x00
11.654032000000001,37,0xA5,0x00
11.654037166666667,38,0x80,0x00
11.654046916666667,39,0xC2,0x00
11.654052166666666,40,0x80,0x00
11.654064666666667,41,0x97,0x00
11.654460666666667,42,0x00,0x80
11.654467583333334,43,0xEF,0xFF
11.654623000000001,44,0x00,0x88
11.654629916666666,45,0xA7,0xFF
11.654785416666666,46,0x00,0x80
11.654792333333333,47,0xEF,0xFF
11.654947833333333,48,0x00,0x8C
11.654954833333333,49,0xE3,0xFE
11.655110333333333,50,0x00,0x18
11.655117833333334,51,0x41,0xFF
11.655272583333334,52,0x00,0x8C
11.655281666666667,53,0xE1,0xFF
11.655435083333334,54,0x00,0x80
11.655444166666667,55,0xE1,0xFE
11.655597416666666,56,0x00,0x88
11.655606499999999,57,0xE0,0xFE
11.655760000000001,58,0x00,0x18
11.655769083333333,59,0x48,0xFF
11.655922416666666,60,0x00,0x18
11.655929666666667,61,0x4D,0xFF
11.656084750000000,62,0x00,0x18
11.656091916666666,63,0xA5,0xFF
11.656247000000000,64,0x00,0x8C
11.656253916666667,65,0xEF,0xFF
11.656409500000001,66,0x00,0x88
11.656416083333333,67,0x93,0xFF
11.656421416666667,68,0xA7,0xFF
11.656839916666666,69,0xA5,0x00
