Time [s],Packet ID,MOSI,MISO
0.000000375000000,0,0x00,0x81
0.000002562500000,0,0x00,0xD7
0.000005562500000,0,0x00,0x62
0.000033875000000,1,0x94,0x00
0.000036125000000,1,0xA5,0x00
0.000163437500000,2,0x00,0x81
0.000165625000000,2,0x00,0xD7
0.000168625000000,2,0x00,0x02
0.000325187500000,3,0x00,0x81
0.000327375000000,3,0x00,0xF8
0.000330375000000,3,0x00,0x99
0.000487625000000,4,0x00,0x81
0.000489812500000,4,0x00,0xF8
0.000492812500000,4,0x00,0x00
0.000650062500000,5,0x00,0x81
0.000652250000000,5,0x00,0xF8
0.000655250000000,5,0x00,0x99
0.000813812500000,6,0x00,0x81
0.000816000000000,6,0x00,0xD6
0.000819000000000,6,0x00,0xE9
0.000847250000000,7,0x82,0x00
0.000849500000000,7,0x0D,0x00
0.000872812500000,8,0x82,0x00
0.000875062500000,8,0x3D,0x00
0.001259250000000,9,0x00,0x81
0.001261437500000,9,0x00,0x80
0.001268625000000,10,0xB8,0xFF
0.001270875000000,10,0xAA,0xFE
0.001421625000000,11,0x00,0x81
0.001423812500000,11,0x00,0x80
0.001431000000000,12,0xB8,0xFF
0.001433250000000,12,0xAA,0xFF
0.001584062500000,13,0x00,0x81
0.001586250000000,13,0x00,0x80
0.001593437500000,14,0xB8,0xFF
0.001595687500000,14,0xAA,0xFE
0.001746437500000,15,0x00,0x81
0.001748625000000,15,0x00,0x80
0.001755812500000,16,0xB8,0xFF
0.001758062500000,16,0x2D,0xFE
0.001908812500000,17,0x00,0x81
0.001911000000000,17,0x00,0x80
0.001918812500000,18,0xB8,0xFF
0.001921062500000,18,0x0E,0xFF
0.002071250000000,19,0x00,0x81
0.002073437500000,19,0x00,0x80
0.002082625000000,20,0xB8,0xFF
0.002084875000000,20,0x82,0xFF
0.002233687500000,21,0x00,0x81
0.002235875000000,21,0x00,0x80
0.002245062500000,22,0xB8,0xFF
0.002247312500000,22,0x00,0xFE
0.002396062500000,23,0x00,0x81
0.002398250000000,23,0x00,0x80
0.002405562500000,24,0xB8,0xFF
0.002407812500000,24,0x70,0xFF
0.002558437500000,25,0x00,0x81
0.002560625000000,25,0x00,0x80
0.002568187500000,26,0xB8,0xFF
0.002570437500000,26,0xA3,0xFE
0.002720875000000,27,0x00,0x81
0.002723062500000,27,0x00,0x80
0.002730187500000,28,0xB8,0xFF
0.002732437500000,28,0xAA,0xFE
0.002883250000000,29,0x00,0x81
0.002885437500000,29,0x00,0x80
0.002893562500000,30,0x82,0xFF
0.002895812500000,30,0x0D,0xFF
0.002901125000000,31,0xB8,0xFF
0.002903375000000,31,0xAA,0xFE
0.002918937500000,32,0x94,0x00
0.002921187500000,32,0xA3,0x00
0.002926937500000,33,0x82,0x00
0.002929187500000,33,0xDD,0x00
5.640136437500000,34,0x00,0x81
5.640138625000000,34,0x00,0xF6
5.640141625000000,34,0x00,0x62
5.640169875000000,35,0x94,0x00
5.640298062500000,36,0x00,0x81
5.640300250000000,36,0x00,0xF6
5.640303250000000,36,0x00,0x02
5.640460375000000,37,0x00,0x81
5.640462562500000,37,0x00,0xD7
5.640465562500000,37,0x00,0x99
5.640622812500000,38,0x00,0x81
5.640625000000000,38,0x00,0xD7
5.640628000000000,38,0x00,0x00
5.640784625000000,39,0x00,0x81
5.640786812500000,39,0x00,0xD7
5.640789812500000,39,0x00,0x99
5.640947625000000,40,0x00,0x81
5.640949812500000,40,0x00,0xF6
5.640952812500000,40,0x00,0xE9
5.640981062500000,41,0x82,0x00
5.640983312500000,41,0x0D,0x00
5.641006625000000,42,0x82,0x00
5.641008875000000,42,0x3D,0x00
5.641411875000000,43,0x00,0x81
5.641414062500000,43,0x00,0xA0
5.641421250000000,44,0xB8,0xFF
5.641423500000000,44,0xAA,0xFE
5.641574187500000,45,0x00,0x81
5.641576375000000,45,0x00,0xA0
5.641583625000000,46,0xB8,0xFF
5.641585875000000,46,0xAA,0xFE
5.641736625000000,47,0x00,0x81
5.641738812500000,47,0x00,0xA0
5.641746000000000,48,0xB8,0xFF
5.641748250000000,48,0xAA,0xFF
5.641899062500000,49,0x00,0x81
5.641901250000000,49,0x00,0xA0
5.641908437500000,50,0xB8,0xFF
5.641910687500000,50,0x2D,0xFE
5.642061437500000,51,0x00,0x81
5.642071500000000,52,0xB8,0xFF
5.642073750000000,52,0x0E,0xFE
5.642223812500000,53,0x00,0x81
5.642226000000000,53,0x00,0xA0
5.642235187500000,54,0xB8,0xFF
5.642237437500000,54,0x82,0xFF
5.642386250000000,55,0x00,0x81
5.642388437500000,55,0x00,0xA0
5.642397625000000,56,0xB8,0xFF
5.642399875000000,56,0x00,0xFE
5.642548625000000,57,0x00,0x81
5.642550812500000,57,0x00,0xA0
5.642558187500000,58,0xB8,0xFF
5.642560437500000,58,0x70,0xFE
5.642711062500000,59,0x00,0x81
5.642713250000000,59,0x00,0xA0
5.642720812500000,60,0xB8,0xFF
5.642723062500000,60,0xA3,0xFF
5.642873500000000,61,0x00,0x81
5.642875687500000,61,0x00,0xA0
5.642882812500000,62,0xB8,0xFF
5.642885062500000,62,0xAA,0xFE
5.643035812500000,63,0x00,0x81
5.643038000000000,63,0x00,0xA0
5.643046187500000,64,0x82,0xFF
5.643048437500000,64,0x0D,0xFF
5.643053687500000,65,0xB8,0xFF
5.643055937500000,65,0xAA,0xFE
5.643071500000000,66,0x94,0x00
5.643073750000000,66,0xA3,0x00
5.643079500000000,67,0x82,0x00
5.643081750000000,67,0xDD,0x00
10.652577000000001,68,0x00,0x80
