Time [s];Packet ID;MOSI;MISO;
27.598.417.125.000.000;186;0x00;0x1D;
27.598.574.374.999.900;187;0x00;0x80;STATUS
27.598.576.562.500.000;187;0x00;0x20;STATUS
27.598.579.562.499.900;187;0x00;0xC1;
27.598.736.750.000.000;188;0x00;0x80;STATUS
27.598.738.937.499.900;188;0x00;0x20;STATUS
27.598.741.937.500.000;188;0x00;0x8F;
27.598.895.750.000.000;189;0x00;0x80;STATUS
27.598.897.937.499.900;189;0x00;0x60;STATUS
27.598.900.937.500.000;189;0x00;0x74;
27.599.054.625.000.000;190;0x00;0x80;
27.599.056.812.499.900;190;0x00;0x20;
27.599.059.812.499.900;190;0x00;0x02;
27.599.212.687.500.000;191;0x00;0x80;
27.599.214.875.000.000;191;0x00;0x20;
27.599.217.875.000.000;191;0x00;0x1F;
27.599.373.187.499.900;192;0x00;0x80;
27.599.375.375.000.000;192;0x00;0x20;
27.599.378.375.000.000;192;0x00;0xF8;
27.599.527.187.500.000;193;0x00;0x80;
27.599.529.374.999.900;193;0x00;0x20;
27.599.532.374.999.900;193;0x00;0xC1;
27.599.689.625.000.000;194;0x00;0x80;
27.599.691.812.500.000;194;0x00;0x20;
27.599.694.812.500.000;194;0x00;0xC4;
27.599.847.749.999.900;195;0x00;0x80;
27.599.849.937.500.000;195;0x00;0x20;
27.599.852.937.500.000;195;0x00;0xCC;
27.600.010.125.000.000;196;0x00;0x80;
27.600.012.312.499.900;196;0x00;0x20;
27.600.015.312.499.900;196;0x00;0xFF;
27.600.174.562.500.000;197;0x00;0x80;
27.600.176.749.999.900;197;0x00;0x20;
27.600.179.749.999.900;197;0x00;0x1F;
27.600.328.500.000.000;198;0x00;0x80;
27.600.330.687.500.000;198;0x00;0x20;
27.600.333.687.500.000;198;0x00;0x1E;
27.600.488.937.500.000;199;0x00;0x80;
27.600.491.125.000.000;199;0x00;0x20;
27.600.494.125.000.000;199;0x00;0xF7;
27.600.649.250.000.000;200;0x00;0x80;
27.600.651.437.500.000;200;0x00;0x20;
27.600.654.437.500.000;200;0x00;0x1C;
27.600.807.374.999.900;201;0x00;0x80;
27.600.809.562.500.000;201;0x00;0x20;
27.600.812.562.500.000;201;0x00;0x14;
27.600.962.249.999.900;202;0x00;0x80;
27.600.964.437.500.000;202;0x00;0x60;
27.600.967.437.500.000;202;0x00;0x0B;
27.601.124.562.500.000;203;0x00;0x80;
27.601.126.749.999.900;203;0x00;0x60;
27.601.129.749.999.900;203;0x00;0xCF;
27.601.283.375.000.000;204;0x00;0x80;
27.601.285.562.499.900;204;0x00;0x60;
27.601.288.562.499.900;204;0x00;0xA8;
27.601.443.750.000.000;205;0x00;0x80;
27.601.445.937.499.900;205;0x00;0x20;
27.601.448.937.499.900;205;0x00;0x53;
27.601.602.562.499.900;206;0x00;0x80;
27.601.604.750.000.000;206;0x00;0x60;
27.601.607.749.999.900;206;0x00;0x0A;
27.601.764.374.999.900;207;0x00;0x80;
27.601.766.562.500.000;207;0x00;0x60;
27.601.769.562.499.900;207;0x00;0x7C;
27.601.924.562.499.900;208;0x00;0x80;
27.601.926.750.000.000;208;0x00;0x60;
27.601.929.750.000.000;208;0x00;0x5F;
27.602.080.812.499.900;209;0x00;0x80;
27.602.083.000.000.000;209;0x00;0x20;
27.602.086.000.000.000;209;0x00;0xBA;
27.602.239.000.000.000;210;0x00;0x80;
27.602.241.187.499.900;210;0x00;0x20;
27.602.244.187.499.900;210;0x00;0xBB;
27.602.403.375.000.000;211;0x00;0x80;
27.602.405.562.500.000;211;0x00;0x20;
27.602.408.562.499.900;211;0x00;0x3A;
27.602.561.625.000.000;212;0x00;0x80;
27.602.563.812.500.000;212;0x00;0x20;
27.602.566.812.500.000;212;0x00;0x3A;
27.602.723.999.999.900;213;0x00;0x80;
27.602.726.187.500.000;213;0x00;0x20;
27.602.729.187.500.000;213;0x00;0x1B;
27.602.888.624.999.900;214;0x00;0x80;
27.602.890.812.500.000;214;0x00;0x20;
27.602.893.812.500.000;214;0x00;0x31;
27.602.908.312.499.900;215;0x82;0x00;
27.602.910.562.500.000;215;0x0D;0x00;
27.602.928.124.999.900;216;0x94;0x00;
27.602.936.187.499.900;217;0x82;0x00;
27.602.938.437.500.000;217;0xDD;0x00;
39.527.356.875.000.000;218;0x00;0x80;
39.527.359.062.499.900;218;0x00;0x80;
39.527.362.062.500.000;218;0x00;0xFE;
39.527.390.375.000.000;219;0x94;0x00;
39.527.392.624.999.900;219;0xA1;0x00;
39.527.519.249.999.900;220;0x00;0x80;
39.527.521.437.499.900;220;0x00;0x00;
39.527.524.437.499.900;220;0x00;0xDF;
39.527.679.499.999.900;221;0x00;0x80;
39.527.681.687.499.900;221;0x00;0x00;
39.527.684.687.499.900;221;0x00;0x9A;
39.527.841.875.000.000;222;0x00;0x80;
39.527.844.062.500.000;222;0x00;0x00;
39.527.847.062.500.000;222;0x00;0xB7;
39.528.000.124.999.900;223;0x00;0x80;
39.528.002.312.500.000;223;0x00;0x00;
39.528.005.312.499.900;223;0x00;0xE6;
39.528.158.249.999.900;224;0x00;0x80;
39.528.160.437.499.900;224;0x00;0x00;
39.528.163.437.499.900;224;0x00;0x6F;
39.528.320.749.999.900;225;0x00;0x80;
39.528.322.937.500.000;225;0x00;0x00;
39.528.325.937.500.000;225;0x00;0xFE;
39.528.474.687.500.000;226;0x00;0x80;
39.528.476.875.000.000;226;0x00;0x00;
39.528.479.875.000.000;226;0x00;0x6F;
39.528.630.874.999.900;227;0x00;0x80;
39.528.633.062.499.900;227;0x00;0x00;
39.528.636.062.499.900;227;0x00;0x47;
39.528.791.062.499.900;228;0x00;0x80;
39.528.793.250.000.000;228;0x00;0x00;
39.528.796.249.999.900;228;0x00;0x8A;
39.528.945.062.500.000;229;0x00;0x80;
39.528.947.250.000.000;229;0x00;0x00;
39.528.950.250.000.000;229;0x00;0x5A;
39.529.101.312.500.000;230;0x00;0x80;
39.529.103.499.999.900;230;0x00;0x00;
39.529.106.499.999.900;230;0x00;0x9E;
39.529.251.062.500.000;231;0x00;0x80;
39.529.253.249.999.900;231;0x00;0x00;
39.529.256.250.000.000;231;0x00;0x27;
39.529.415.562.499.900;232;0x00;0x80;
39.529.417.750.000.000;232;0x00;0x00;
39.529.420.750.000.000;232;0x00;0x27;
39.529.571.750.000.000;233;0x00;0x80;
39.529.573.937.499.900;233;0x00;0x00;
39.529.576.937.500.000;233;0x00;0xA9;
39.529.729.875.000.000;234;0x00;0x80;
39.529.732.062.500.000;234;0x00;0x00;
39.529.735.062.500.000;234;0x00;0xDF;
39.529.892.250.000.000;235;0x00;0x80;
39.529.894.499.999.900;235;0x00;0x00;
39.529.897.499.999.900;235;0x00;0xFC;
39.530.049.750.000.000;236;0x00;0x80;
39.530.051.937.499.900;236;0x00;0x40;
39.530.054.937.499.900;236;0x00;0xDD;
39.530.211.562.500.000;237;0x00;0x80;
39.530.213.750.000.000;237;0x00;0x40;
39.530.216.750.000.000;237;0x00;0xBF;
39.530.367.499.999.900;238;0x00;0x80;
39.530.369.687.499.900;238;0x00;0x00;
39.530.372.687.499.900;238;0x00;0xBE;
39.530.532.187.500.000;239;0x00;0x80;
39.530.534.375.000.000;239;0x00;0x00;
39.530.537.375.000.000;239;0x00;0x9F;
39.530.693.124.999.900;240;0x00;0x80;
39.530.695.312.500.000;240;0x00;0x40;
39.530.698.375.000.000;240;0x00;0xFF;
39.530.851.875.000.000;241;0x00;0x80;
39.530.854.062.499.900;241;0x00;0x00;
39.530.857.062.499.900;241;0x00;0x3F;
39.531.014.312.499.900;242;0x00;0x80;
39.531.016.500.000.000;242;0x00;0x00;
39.531.019.499.999.900;242;0x00;0x5B;
39.531.174.749.999.900;243;0x00;0x80;
39.531.176.937.500.000;243;0x00;0x00;
39.531.179.937.499.900;243;0x00;0x7B;
39.531.337.125.000.000;244;0x00;0x80;
39.531.339.312.500.000;244;0x00;0x00;
39.531.342.312.500.000;244;0x00;0xFD;
39.531.493.062.499.900;245;0x00;0x80;
39.531.495.249.999.900;245;0x00;0x00;
39.531.498.249.999.900;245;0x00;0x2C;
39.531.653.499.999.900;246;0x00;0x80;
39.531.655.687.499.900;246;0x00;0x00;
39.531.658.687.499.900;246;0x00;0x77;
39.531.813.749.999.900;247;0x00;0x80;
39.531.815.937.499.900;247;0x00;0x00;
39.531.818.937.499.900;247;0x00;0xEB;
39.531.974.187.499.900;248;0x00;0x80;
39.531.976.374.999.900;248;0x00;0x00;
39.531.979.374.999.900;248;0x00;0xEF;
39.532.136.562.500.000;249;0x00;0x80;
39.532.138.750.000.000;249;0x00;0x00;
39.532.141.750.000.000;249;0x00;0xEB;
39.532.299.000.000.000;250;0x00;0x80;
39.532.301.187.500.000;250;0x00;0x0F;
39.532.461.374.999.900;251;0x00;0x80;
39.532.463.562.499.900;251;0x00;0x00;
39.532.466.562.499.900;251;0x00;0xFF;
39.532.615.374.999.900;252;0x00;0x80;
39.532.617.562.500.000;252;0x00;0x00;
39.532.620.562.500.000;252;0x00;0xDC;
39.532.773.499.999.900;253;0x00;0x80;
39.532.775.687.499.900;253;0x00;0x00;
39.532.778.687.499.900;253;0x00;0x7E;
